datatype,sample_size,model_name,model_type,evaluation_type,strategy,precision,recall,f1,TP,FN,FP,TN,file_path
wdc,300,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-random-0904-300:CCRlVIaa,before,knn,random,0.777,0.8462,0.8101,209,38,60,2914,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,300,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-inconsistency-0904-300:CCRgxzIZ,after,knn,inconsistency,0.8468,0.7611,0.8017,188,59,34,2940,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,300,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-random-0904-300:CCRlVIaa,before,all_pairs,random,0.5989,0.848,0.702,212,38,142,124358,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,300,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-inconsistency-0904-300:CCRgxzIZ,after,all_pairs,inconsistency,0.7724,0.76,0.7661,190,60,56,124444,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,300,gpt-4o-mini-2024-07-18,before,knn,baseline,0.8418,0.6032,0.7028,149,98,28,2946,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,300,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-diversity-0904-300:CCQnHqsH,after,knn,diversity,0.7267,0.915,0.81,226,21,85,2889,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,300,gpt-4o-mini-2024-07-18,before,all_pairs,baseline,0.7563,0.596,0.6667,149,101,48,124452,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,300,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-diversity-0904-300:CCQnHqsH,after,all_pairs,diversity,0.5,0.92,0.6479,230,20,230,124270,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,300,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-uncertainty-0904-300:CCRosB2q,before,knn,uncertainty,0.8147,0.8543,0.834,211,36,48,2926,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-matching-uncertainty-0..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-matching-uncertainty-0..._report.txt
wdc,300,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-uncertainty-0904-300:CCRosB2q,after,knn,uncertainty,0.8147,0.8543,0.834,211,36,48,2926,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-matching-uncertainty-0..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-matching-uncertainty-0..._report.txt
wdc,300,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-uncertainty-0904-300:CCRosB2q,before,all_pairs,uncertainty,0.702,0.848,0.7681,212,38,90,124410,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-matching-uncertainty-0..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-matching-uncertainty-0..._report.txt
wdc,300,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-uncertainty-0904-300:CCRosB2q,after,all_pairs,uncertainty,0.702,0.848,0.7681,212,38,90,124410,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-matching-uncertainty-0..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-matching-uncertainty-0..._report.txt
wdc,100,ft:gpt-4o-mini-2024-07-18:mlab:wdc-product-matching-random-0904-100:CBx7yhmc,before,knn,random,0.7871,0.7935,0.7903,196,51,53,2921,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._report.txt
wdc,100,ft:gpt-4o-mini-2024-07-18:mlab:wdc-product-matching-diversity-0904-100:CBx9npcF,after,knn,diversity,0.8069,0.8462,0.8261,209,38,50,2924,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._report.txt
wdc,100,ft:gpt-4o-mini-2024-07-18:mlab:wdc-product-matching-random-0904-100:CBx7yhmc,before,all_pairs,random,0.6633,0.788,0.7203,197,53,100,124400,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._report.txt
wdc,100,ft:gpt-4o-mini-2024-07-18:mlab:wdc-product-matching-diversity-0904-100:CBx9npcF,after,all_pairs,diversity,0.6873,0.844,0.7576,211,39,96,124404,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._report.txt
wdc,100,gpt-4o-mini-2024-07-18,before,knn,baseline,0.8418,0.6032,0.7028,149,98,28,2946,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._report.txt
