datatype,sample_size,model_name,model_type,precision,recall,f1,TP,FN,FP,TN,file_path
wdc,300,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-random-0904-300:CCRlVIaa,before,0.777,0.8462,0.8101,209,38,60,2914,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,300,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-inconsistency-0904-300:CCRgxzIZ,after,0.8468,0.7611,0.8017,188,59,34,2940,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,300,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-random-0904-300:CCRlVIaa,before,0.5989,0.848,0.702,212,38,142,124358,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,300,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-inconsistency-0904-300:CCRgxzIZ,after,0.7724,0.76,0.7661,190,60,56,124444,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,300,gpt-4o-mini-2024-07-18,before,0.8418,0.6032,0.7028,149,98,28,2946,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,300,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-diversity-0904-300:CCQnHqsH,after,0.7267,0.915,0.81,226,21,85,2889,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,300,gpt-4o-mini-2024-07-18,before,0.7563,0.596,0.6667,149,101,48,124452,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,300,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-diversity-0904-300:CCQnHqsH,after,0.5,0.92,0.6479,230,20,230,124270,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_300_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,100,ft:gpt-4o-mini-2024-07-18:mlab:wdc-product-matching-random-0904-100:CBx7yhmc,before,0.7871,0.7935,0.7903,196,51,53,2921,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._report.txt
wdc,100,ft:gpt-4o-mini-2024-07-18:mlab:wdc-product-matching-diversity-0904-100:CBx9npcF,after,0.8069,0.8462,0.8261,209,38,50,2924,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._report.txt
wdc,100,ft:gpt-4o-mini-2024-07-18:mlab:wdc-product-matching-random-0904-100:CBx7yhmc,before,0.6633,0.788,0.7203,197,53,100,124400,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._report.txt
wdc,100,ft:gpt-4o-mini-2024-07-18:mlab:wdc-product-matching-diversity-0904-100:CBx9npcF,after,0.6873,0.844,0.7576,211,39,96,124404,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._report.txt
wdc,100,gpt-4o-mini-2024-07-18,before,0.8418,0.6032,0.7028,149,98,28,2946,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._report.txt
wdc,100,ft:gpt-4o-mini-2024-07-18:mlab:wdc-product-matching-inconsistency-0904-100:CC4nJaqO,after,0.7066,0.9069,0.7943,224,23,93,2881,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._report.txt
wdc,100,gpt-4o-mini-2024-07-18,before,0.7563,0.596,0.6667,149,101,48,124452,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._report.txt
wdc,100,ft:gpt-4o-mini-2024-07-18:mlab:wdc-product-matching-inconsistency-0904-100:CC4nJaqO,after,0.5068,0.9,0.6484,225,25,219,124281,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_100_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-pr..._report.txt
wdc,200,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-random-0904-200:CC3iYnz5,before,0.8101,0.7773,0.7934,192,55,45,2929,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,200,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-inconsistency-0904-200:CC3hmLoG,after,0.8868,0.5709,0.6946,141,106,18,2956,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,200,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-random-0904-200:CC3iYnz5,before,0.6855,0.776,0.728,194,56,89,124411,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,200,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-inconsistency-0904-200:CC3hmLoG,after,0.8462,0.572,0.6826,143,107,26,124474,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,200,gpt-4o-mini-2024-07-18,before,0.8418,0.6032,0.7028,149,98,28,2946,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,200,ft:gpt-4o-mini-2024-07-18:mlab:wdc-matching-diversity-0904-200:CC1vaXRi,after,0.7196,0.9352,0.8134,231,16,90,2884,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
wdc,200,gpt-4o-mini-2024-07-18,before,0.7563,0.596,0.6667,149,101,48,124452,/Users/kasiwamochi/Document/Lab2501/results_wdc/run_500_200_wdc/evaluation_results/eval_async_candidate_pairs_from_test_s..._before-gpt-4o-mini-2024-07-18_after-ft_gpt-4o-mini-2024-07-18_mlab_wdc-ma..._report.txt
